code,dt_date,no2_daily,dt_year,dt_weekdays,week_group
GLA4,2022-09-25,25.32119625,2022,Sunday,Weekends
GLA4,2022-09-26,29.649938333333335,2022,Monday,Other Weekdays
GLA4,2022-09-27,34.408692083333335,2022,Tuesday,Core Weekdays
GLA4,2022-09-28,43.955861666666664,2022,Wednesday,Core Weekdays
GLA4,2022-09-29,58.33518708333333,2022,Thursday,Core Weekdays
GLA4,2022-09-30,24.247590416666668,2022,Friday,Other Weekdays
GLA4,2022-10-01,23.662444999999998,2022,Saturday,Weekends
GLA4,2022-10-02,27.20774958333333,2022,Sunday,Weekends
GLA4,2022-10-03,32.96724708333333,2022,Monday,Other Weekdays
GLA4,2022-10-04,30.381527499999997,2022,Tuesday,Core Weekdays
GLA4,2022-10-05,23.578757826086957,2022,Wednesday,Core Weekdays
GLA4,2022-10-06,13.71165625,2022,Thursday,Core Weekdays
GLA4,2022-10-07,35.37116681818182,2022,Friday,Other Weekdays
GLA4,2022-10-08,31.10963333333333,2022,Saturday,Weekends
GLA4,2022-10-09,22.3510125,2022,Sunday,Weekends
GLA4,2022-10-10,34.26137541666667,2022,Monday,Other Weekdays
GLA4,2022-10-11,25.7289925,2022,Tuesday,Core Weekdays
GLA4,2022-10-12,38.23724375,2022,Wednesday,Core Weekdays
GLA4,2022-10-13,42.188631666666666,2022,Thursday,Core Weekdays
GLA4,2022-10-14,47.229202916666665,2022,Friday,Other Weekdays
GLA4,2022-10-15,28.86674916666667,2022,Saturday,Weekends
GLA4,2022-10-16,27.094492083333332,2022,Sunday,Weekends
GLA4,2022-10-17,32.13963208333333,2022,Monday,Other Weekdays
GLA4,2022-10-18,53.56082958333333,2022,Tuesday,Core Weekdays
GLA4,2022-10-19,49.80808652173913,2022,Wednesday,Core Weekdays
GLA4,2022-10-20,54.07762041666666,2022,Thursday,Core Weekdays
GLA4,2022-10-21,52.199064166666666,2022,Friday,Other Weekdays
GLA4,2022-10-22,49.6999575,2022,Saturday,Weekends
GLA4,2022-10-23,41.37285958333334,2022,Sunday,Weekends
GLA4,2022-10-24,32.46602333333333,2022,Monday,Other Weekdays
GLA4,2022-10-25,40.88113,2022,Tuesday,Core Weekdays
GLA4,2022-10-26,32.75884416666667,2022,Wednesday,Core Weekdays
GLA4,2022-10-27,54.7315125,2022,Thursday,Core Weekdays
GLA4,2022-10-28,28.2172375,2022,Friday,Other Weekdays
GLA4,2022-10-29,47.117497916666665,2022,Saturday,Weekends
GLA4,2022-10-30,26.15886625,2022,Sunday,Weekends
GLA4,2022-10-31,44.236215,2022,Monday,Other Weekdays
GLA4,2022-11-01,28.23911125,2022,Tuesday,Core Weekdays
GLA4,2022-11-02,27.41735125,2022,Wednesday,Core Weekdays
GLA4,2022-11-03,40.97836130434782,2022,Thursday,Core Weekdays
GLA4,2022-11-04,56.14309291666667,2022,Friday,Other Weekdays
GLA4,2022-11-05,52.035441666666664,2022,Saturday,Weekends
GLA4,2022-11-06,41.04877458333333,2022,Sunday,Weekends
GLA4,2022-11-07,31.45754625,2022,Monday,Other Weekdays
GLA4,2022-11-08,37.46274375,2022,Tuesday,Core Weekdays
GLA4,2022-11-09,14.44879625,2022,Wednesday,Core Weekdays
GLA4,2022-11-10,9.079415000000001,2022,Thursday,Core Weekdays
GLA4,2022-11-11,22.979100833333334,2022,Friday,Other Weekdays
GLA4,2022-11-12,49.05288125,2022,Saturday,Weekends
GLA4,2022-11-13,40.05280625,2022,Sunday,Weekends
GLA4,2022-11-14,43.90058666666666,2022,Monday,Other Weekdays
GLA4,2022-11-15,51.9647125,2022,Tuesday,Core Weekdays
GLA4,2022-11-16,55.23798434782609,2022,Wednesday,Core Weekdays
GLA4,2022-11-17,52.218255416666665,2022,Thursday,Core Weekdays
GLA4,2022-11-18,33.55757666666666,2022,Friday,Other Weekdays
GLA4,2022-11-19,48.30301541666667,2022,Saturday,Weekends
GLA4,2022-11-20,50.041166249999996,2022,Sunday,Weekends
GLA4,2022-11-21,57.17667375,2022,Monday,Other Weekdays
GLA4,2022-11-22,57.45514416666666,2022,Tuesday,Core Weekdays
GLA4,2022-11-23,52.687751666666664,2022,Wednesday,Core Weekdays
GLA4,2022-11-24,45.28749916666667,2022,Thursday,Core Weekdays
GLA4,2022-11-25,17.321479166666666,2022,Friday,Other Weekdays
GLA4,2022-11-26,32.94067041666667,2022,Saturday,Weekends
GLA4,2022-11-27,28.25108125,2022,Sunday,Weekends
GLA4,2022-11-28,67.46873958333333,2022,Monday,Other Weekdays
GLA4,2022-11-29,55.376823333333334,2022,Tuesday,Core Weekdays
GLA4,2022-11-30,56.1936752173913,2022,Wednesday,Core Weekdays
GLA4,2022-12-01,55.94006875,2022,Thursday,Core Weekdays
GLA4,2022-12-02,50.20605541666667,2022,Friday,Other Weekdays
GLA4,2022-12-03,50.99503833333333,2022,Saturday,Weekends
GLA4,2022-12-04,45.744294583333335,2022,Sunday,Weekends
GLA4,2022-12-05,57.48546916666667,2022,Monday,Other Weekdays
GLA4,2022-12-06,78.34310875,2022,Tuesday,Core Weekdays
GLA4,2022-12-07,77.12912541666667,2022,Wednesday,Core Weekdays
GLA4,2022-12-08,75.32731666666666,2022,Thursday,Core Weekdays
GLA4,2022-12-09,77.91204833333333,2022,Friday,Other Weekdays
GLA4,2022-12-10,77.51561625,2022,Saturday,Weekends
GLA4,2022-12-11,59.80049833333334,2022,Sunday,Weekends
GLA4,2022-12-12,66.92477333333333,2022,Monday,Other Weekdays
GLA4,2022-12-13,62.71660625,2022,Tuesday,Core Weekdays
GLA4,2022-12-14,75.79453130434783,2022,Wednesday,Core Weekdays
GLA4,2022-12-15,85.522535,2022,Thursday,Core Weekdays
GLA4,2022-12-16,44.323700833333334,2022,Friday,Other Weekdays
GLA4,2022-12-17,64.84142416666667,2022,Saturday,Weekends
GLA4,2022-12-18,45.737315833333334,2022,Sunday,Weekends
GLA4,2022-12-19,46.0663275,2022,Monday,Other Weekdays
GLA4,2022-12-20,19.697797916666666,2022,Tuesday,Core Weekdays
GLA4,2022-12-21,16.325210833333333,2022,Wednesday,Core Weekdays
GLA4,2022-12-22,64.36192583333333,2022,Thursday,Core Weekdays
GLA4,2022-12-23,61.72874708333333,2022,Friday,Other Weekdays
GLA4,2022-12-24,39.960205,2022,Saturday,Weekends
GLA4,2022-12-25,17.38592583333333,2022,Sunday,Weekends
GLA4,2022-12-26,25.989620416666668,2022,Monday,Other Weekdays
GLA4,2022-12-27,56.411396249999996,2022,Tuesday,Core Weekdays
GLA4,2022-12-28,42.303302083333335,2022,Wednesday,Core Weekdays
GLA4,2022-12-29,30.448653333333333,2022,Thursday,Core Weekdays
GLA4,2022-12-30,26.61698833333333,2022,Friday,Other Weekdays
GLA4,2022-12-31,63.95990625,2022,Saturday,Weekends
GLKP,2022-08-01,11.070214583333334,2022,Monday,Other Weekdays
GLKP,2022-08-02,6.379634583333333,2022,Tuesday,Core Weekdays
GLKP,2022-08-03,8.765895833333333,2022,Wednesday,Core Weekdays
GLKP,2022-08-04,10.45383,2022,Thursday,Core Weekdays
GLKP,2022-08-05,6.843313529411764,2022,Friday,Other Weekdays
GLKP,2022-08-06,6.454674166666667,2022,Saturday,Weekends
GLKP,2022-08-07,5.233009166666667,2022,Sunday,Weekends
GLKP,2022-08-08,9.288457916666667,2022,Monday,Other Weekdays
GLKP,2022-08-09,11.949425,2022,Tuesday,Core Weekdays
GLKP,2022-08-10,18.603996666666667,2022,Wednesday,Core Weekdays
GLKP,2022-08-11,19.943395833333334,2022,Thursday,Core Weekdays
GLKP,2022-08-12,13.452030416666666,2022,Friday,Other Weekdays
GLKP,2022-08-13,10.059207083333334,2022,Saturday,Weekends
GLKP,2022-08-14,11.236513333333333,2022,Sunday,Weekends
GLKP,2022-08-15,17.21481625,2022,Monday,Other Weekdays
GLKP,2022-08-16,10.733805416666666,2022,Tuesday,Core Weekdays
GLKP,2022-08-17,8.878646666666667,2022,Wednesday,Core Weekdays
GLKP,2022-08-18,12.91897125,2022,Thursday,Core Weekdays
GLKP,2022-08-19,8.957001666666667,2022,Friday,Other Weekdays
GLKP,2022-08-20,7.626037083333333,2022,Saturday,Weekends
GLKP,2022-08-21,7.283946666666667,2022,Sunday,Weekends
GLKP,2022-08-22,19.64919791666667,2022,Monday,Other Weekdays
GLKP,2022-08-23,17.508089166666668,2022,Tuesday,Core Weekdays
GLKP,2022-08-24,13.977240416666666,2022,Wednesday,Core Weekdays
GLKP,2022-08-25,14.113204782608696,2022,Thursday,Core Weekdays
GLKP,2022-08-26,18.653861666666668,2022,Friday,Other Weekdays
GLKP,2022-08-27,15.561470416666667,2022,Saturday,Weekends
GLKP,2022-08-28,13.38809625,2022,Sunday,Weekends
GLKP,2022-08-29,10.964069166666667,2022,Monday,Other Weekdays
GLKP,2022-08-30,8.36052,2022,Tuesday,Core Weekdays
GLKP,2022-08-31,14.664791666666666,2022,Wednesday,Core Weekdays
GLKP,2022-09-01,15.42557,2022,Thursday,Core Weekdays
GLKP,2022-09-02,12.585187916666667,2022,Friday,Other Weekdays
GLKP,2022-09-03,12.07841375,2022,Saturday,Weekends
GLKP,2022-09-04,8.905345,2022,Sunday,Weekends
GLKP,2022-09-05,9.63728375,2022,Monday,Other Weekdays
GLKP,2022-09-06,17.294755,2022,Tuesday,Core Weekdays
GLKP,2022-09-07,12.765783333333333,2022,Wednesday,Core Weekdays
GLKP,2022-09-08,11.275050833333333,2022,Thursday,Core Weekdays
GLKP,2022-09-09,7.129242916666667,2022,Friday,Other Weekdays
GLKP,2022-09-10,18.647677916666666,2022,Saturday,Weekends
GLKP,2022-09-11,14.317840833333333,2022,Sunday,Weekends
GLKP,2022-09-12,11.83076875,2022,Monday,Other Weekdays
GLKP,2022-09-13,13.254666666666667,2022,Tuesday,Core Weekdays
GLKP,2022-09-14,12.441741666666667,2022,Wednesday,Core Weekdays
